사용일자,in_final,out_final,net_in_out_final,pre_week,next_week,week,weekend&public holiday
2024-01-05,31862.63724,33647.0,-1784.3627600000013,-2714.5976200000005,-1321.4368000000004,4,0
2024-01-08,28384.56768,28774.0,-389.43231999999966,-3647.570959999999,-1632.4486399999996,0,0
2024-01-09,27217.54434,28504.0,-1286.45566,-4149.54655,-1624.42282,1,0
2024-01-10,28373.56746,30406.0,-2032.4325400000002,-2313.4635600000015,-1865.3905599999994,2,0
2024-01-11,28047.56094,29545.0,-1497.43906,-1634.3910000000008,-1408.4714000000004,3,0
2024-01-12,30780.6156,32905.0,-2124.3843999999985,-1062.3814199999995,-1102.475320000001,4,0
2024-01-15,27366.547319999998,28727.0,-1360.4526799999996,-1901.3917599999997,-1363.4568399999994,0,0
2024-01-16,28160.5632,29482.0,-1321.4368000000004,-1784.3627600000013,-1635.4314599999998,1,0
2024-01-17,27568.55136,29201.0,-1632.4486399999996,-389.43231999999966,-1635.3910400000009,2,0
2024-01-18,28859.57718,30484.0,-1624.42282,-1286.45566,-856.4187800000004,3,0
2024-01-19,30472.60944,32338.0,-1865.3905599999994,-2032.4325400000002,-1471.4241400000012,4,0
2024-01-22,26430.5286,27839.0,-1408.4714000000004,-1497.43906,-1068.4172200000007,0,0
2024-01-23,26234.52468,27337.0,-1102.475320000001,-2124.3843999999985,-1895.0189500000004,1,0
2024-01-24,27158.54316,28522.0,-1363.4568399999994,-1360.4526799999996,-1968.0196799999997,2,0
2024-01-25,28427.56854,30063.0,-1635.4314599999998,-1321.4368000000004,-1181.0118100000013,3,0
2024-01-26,30448.60896,32084.0,-1635.3910400000009,-1632.4486399999996,-1029.0102900000013,4,0
2024-01-29,29061.58122,29918.0,-856.4187800000004,-1624.42282,-823.0082300000006,0,0
2024-01-30,28793.57586,30265.0,-1471.4241400000012,-1865.3905599999994,-1644.0164399999994,1,0
2024-01-31,29139.58278,30208.0,-1068.4172200000007,-1408.4714000000004,-2687.0268700000006,2,0
2024-02-01,28787.28787,30682.30682,-1895.0189500000004,-1102.475320000001,-1290.0129000000013,3,0
2024-02-02,32234.32234,34202.342020000004,-1968.0196799999997,-1363.4568399999994,-1806.0180600000008,4,0
2024-02-05,28013.28013,29194.29194,-1181.0118100000013,-1635.4314599999998,-2717.0271700000003,0,0
2024-02-06,28628.28628,29657.296570000002,-1029.0102900000013,-1635.3910400000009,-2471.024710000001,1,0
2024-02-07,27789.27789,28612.28612,-823.0082300000006,-856.4187800000004,-2208.0220800000016,2,0
2024-02-08,26846.26846,28490.2849,-1644.0164399999994,-1471.4241400000012,-2098.020980000002,3,0
